Project ID,Title,Researchers,Legal Basis,Datasets Used,Secure Research Service,Accreditation Date
2024/071,The impact of exclusion on peers’ educational and labour market outcomes,"Min Zhang, The University of Westminster
Veruska Oppedisano, The University of Westminster
Richard Dorsett, The University of Westminster
Dave Thomson, FFT Education Limited
David Bibby, FFT Education Limited",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,07/05/2024
2024/072,Intervention­-level evaluation of the Towns Fund - Additional Business Outcomes,"David Barkshire, Department for Levelling Up, Housing and Communities
Veronica Mrvcic, Department for Levelling Up, Housing and Communities
Alexander Katz, Frontier Economics Ltd
Vladislava Bar-Katz, Frontier Economics Ltd
Thomas Badger, Frontier Economics Ltd
Priyanka Roychoudhury, Frontier Economics Ltd
Danail Popov, Frontier Economics Ltd
Daleep Singh, Frontier Economics Ltd
Harriet Olorenshaw, Frontier Economics Ltd
Victoria Sutherland, Centre for Cities
Lucy Townley, Department for Levelling Up, Housing and Communities",Digital Economy Act (2017),Office for National Statistics: Business Structure Database - UK,Office for National Statistics Secure Research Service,06/06/2024
2024/113,Home working and remote working,"Darja Reuschke, University of Birmingham",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey Person - UK,Office for National Statistics Secure Research Service,11/06/2024
2024/079,Migration Observatory characteristics briefings,"Madeleine Sumption, University of Oxford
Marina Fernandez Reino, University of Oxford
Ben Brindle, University of Oxford
Peter Walsh, University of Oxford
Nuni Vieira Jorgensen, University of Oxford
Denis Kierans, University of Oxford",Digital Economy Act (2017),"Office for National Statistics: Annual Population Survey - UK, Labour Force Survey Person - UK, Annual Survey of Hours and Earnings - GB
DWP: Family Resources Survey - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,13/05/2024
2024/126,Firming Up Technology Trade,"Ioannis Papadakis, University of Sussex
Maria Savona, University of Sussex
Mattia Di Ubaldo, University of Sussex",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Annual Survey of Hours and Earnings - GB, International Trade in Services - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings Longitudinal - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
DBT: UK Innovation Survey",Office for National Statistics Secure Research Service,02/07/2024
2024/097,Estimating the Drivers of UK Regional Inequality Using Structural Approaches,"Jamie Smith, The University of Edinburgh",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings - GB, Annual Survey of Hours and Earnings Longitudinal - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK",Office for National Statistics Secure Research Service,31/05/2024
2024/098,Understanding criminality in the private rented sector and co-producing solutions: Housing Justice,"Geoff Page, University of York
Kit Colliver, University of York",Digital Economy Act (2017),"Ministry of Justice: RETIRED Ministry of Justice Data First Magistrates Court Defendant - England and Wales, Ministry of Justice Data First Crown Court Defendant - England and Wales, MoJ Data First cross-justice system linking dataset – England and Wales",Office for National Statistics Secure Research Service,31/05/2024
2024/117,Graduating in Austerity: Do Welfare Cuts Affect the Career Path of University Students?,"Taheya Tarannum, University of Oxford",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,05/07/2024
2024/129,Ethnicity and Labour Market Outcomes,"Robert Joyce, Institute for Fiscal Studies
Gautam Vyas, Institute for Fiscal Studies
Monica Costa Dias, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Annual Survey of Hours and Earnings linked to 2011 Census - England and Wales, Labour Force Survey Person - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Household - UK
Institute for Economic and Social Research: Understanding Society - UK",Office for National Statistics Secure Research Service,04/07/2024
2024/093,Help to Grow Management study,"Anna Sperati, Ipsos
Madeleine Thornton, Ipsos
Scott Carter, Ipsos
Henry Evans, Ipsos
Emily Newport, Ipsos
Jaimin Shah, Ipsos
Lucas Haynes, Ipsos",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey - GB, Business Structure Database - UK, Annual Survey of Hours and Earnings - GB",Office for National Statistics Secure Research Service,30/05/2024
2024/115,Impact evaluation of UK investment in the European Space Agency,"Henry Evans, Ipsos
Jack Vannucci, Ipsos",Digital Economy Act (2017),"Office for National Statistics: Business Structure Database - UK, Business Enterprise Research and Development - Great Britain, Annual Population Survey - UK, Annual Survey of Hours and Earnings Longitudinal - UK",Office for National Statistics Secure Research Service,05/07/2024
2024/137,Characterising wage inequality in the UK,"Anastasios Kitsos, Aston University
Enrico Vanino, University of Sheffield
Gregory Thwaites, Resolution Foundation
Aneurin (Nye) Cominetti, Resolution Foundation
Brian Bell, King's College London",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,18/07/2024
2024/082,Student employment in higher education: the effect of 2012 Higher education reform on student employment.,"Judith Delaney, University of Bath",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey Person - UK,Office for National Statistics Secure Research Service,13/05/2024
2024/109,London childcare demand,"Mike Hope, Greater London Authority",Digital Economy Act (2017),Department For Education: Childcare and Early Years Survey of Parents - England,Office for National Statistics Secure Research Service,06/06/2024
2024/083,East West Rail WELLBY Assessment,"Eleni Mataragka, Simetrica
Naike Santangelo, Simetrica
Rafael Mellafe Plaza, Simetrica
Edward Dallas, Simetrica",Digital Economy Act (2017),Institute for Economic and Social Research: Understanding Society - UK,Office for National Statistics Secure Research Service,13/05/2024
2024/092,Cumulative Disadvantage in the Criminal Justice System,"Kitty Lymperopoulou, University of Plymouth",Digital Economy Act (2017),"Ministry of Justice: RETIRED Ministry of Justice Data First Magistrates Court Defendant - England and Wales, Ministry of Justice Data First Crown Court Defendant - England and Wales, Ministry of Justice Data First Family Court - England and Wales, Ministry of Justice Data First Prisoner Custodial Journey - England and Wales, Retired Ministry of Justice Data First Probation - England and Wales, MoJ Data First cross-justice system linking dataset – England and Wales",Office for National Statistics Secure Research Service,30/05/2024
2024/122,A Randomised Controlled Trial (RCT) of self-employment support for young people – feasibility study,"Richard Dorsett, The University of Westminster
Dave Thomson, FFT Education Limited
Veruska Oppedisano, The University of Westminster
David Bibby, FFT Education Limited
Katherine Beynon, FFT Education Limited
Gerda Buchmueller, The University of Westminster
Kalyan Kumar Kameshwara, The University of Westminster",Digital Economy Act (2017),"DfE, DWP and HMRC: Longitudinal Education Outcomes SRS Iteration 2 Standard Extract - England",Office for National Statistics Secure Research Service,05/07/2024
2024/125,"Exploring health and social inequalities in exposure to outdoor volatile organic compounds (VOCs) concentrations across Leicester, UK.","Rebecca Cordell, University of Leicester
Kevin Wyche, University of Brighton
Connor Young, University of Leicester",Digital Economy Act (2017),Office for National Statistics: Annual Population Survey - UK,Office for National Statistics Secure Research Service,22/07/2024
2024/128,How does inflation affect internal migration within the UK?,"Justin Waddy, University of Exeter",Digital Economy Act (2017),Office for National Statistics: Labour Force Survey Indexed,Integrated Data Service,08/07/2024
2023/151,Incentives for Innovation,"John Moffat, University of Durham
Haoran Sun, University of Durham",Digital Economy Act (2017),"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Expenditure on Research and Development, Business Structure Database, UK Innovation Survey",UK Data Archive,26/07/2023
2023/152,An Empirical Analysis of the Gender Wealth Gap in the UK,"Helen Bao, University of Cambridge
Michelle Acheampong, University of Cambridge",Digital Economy Act (2017),Office for National Statistics: Wealth and Assets Survey,UK Data Archive,27/07/2023
2023/162,How active travel can improve our health and wellbeing,"Dr Lucy Griffiths, Swansea University
Dr Theodora Pouliou, Swansea University
Rowena Bailey, Swansea University
Jo Davies, Swansea University
Jane Lyons, Swansea University
Rhodri Johnson, Swansea University
James Rafferty, Swansea University
Samantha turner, Swansea University
Oliver Thwaites, Swansea University",Digital Economy Act (2017),SAIL Databank: Welsh Census 2011,SAIL,03/08/2023
2023/164,"Socio-economic status, mortality and morbidity in Britain and the US","Xiaowei Xu, Institute for Fiscal Studies",Digital Economy Act (2017),"Office for National Statistics: Death Registrations, England and Wales, Public Health Research Database, Census 2011",Office for National Statistics Secure Research Service,04/08/2023
2023/166,How active travel can improve our health and wellbeing,"Theodora Pouliou, Swansea University
Lucy Griffiths, Swansea University
Rowena Bailey, Swansea University
Jo Davies, Swansea University
Jane Lyons, Swansea University
Rhodri Johnson, Swansea University
James Rafferty, Swansea University
Samantha Turner, Swansea University
Oliver Thwaites, Swansea University",Digital Economy Act (2017),SAIL Databank: Welsh Census 2011,SAIL,08/08/2023
